model,critical_length,minimal_number_of_queries,non_trivial_critical_pairs,non_trivial_deduced_critical_pairs
model72071.csv,15,6,6,2
model93398.csv,19,8,10,3
model19246.csv,15,7,7,3
model111971.csv,18,9,10,2
model18179.csv,12,8,5,1
model98082.csv,15,6,8,3
model17998.csv,13,8,5,2
model41791.csv,16,7,8,3
model56641.csv,12,6,5,1
model73737.csv,18,9,9,2
model40001.csv,15,8,7,2
model18896.csv,16,8,8,2
model25587.csv,13,7,7,2
model49278.csv,14,6,6,2
model31486.csv,15,8,8,2
model123399.csv,17,10,11,1
model100928.csv,17,7,9,3
model63832.csv,15,7,7,1
model33205.csv,11,7,5,1
model45887.csv,13,7,6,2
model7923.csv,14,9,8,2
model44605.csv,15,8,8,2
model113521.csv,17,7,9,3
model106992.csv,16,7,9,3
model16835.csv,11,6,5,1
model74950.csv,17,7,8,2
model115485.csv,14,7,7,1
model14977.csv,14,6,6,2
model36539.csv,14,6,7,2
model103570.csv,12,6,4,2
model117963.csv,13,6,6,3
model112194.csv,16,8,8,2
model46577.csv,12,6,5,3
model79957.csv,14,6,6,3
model46563.csv,12,6,4,1
model51514.csv,13,6,7,2
model8943.csv,11,6,4,2
model24694.csv,16,8,9,2
model69828.csv,14,7,6,1
model75406.csv,13,6,5,2
model85752.csv,14,7,5,1
model57290.csv,14,6,7,2
model37526.csv,14,7,7,2
model32822.csv,16,6,9,4
model53137.csv,14,6,6,1
model35415.csv,12,7,6,1
model6876.csv,13,8,6,2
model52171.csv,13,7,5,2
model4552.csv,13,6,6,3
model58168.csv,14,8,8,1
model85123.csv,14,8,6,2
model7924.csv,13,8,7,2
model54738.csv,15,9,8,1
model99422.csv,13,6,5,2
model95990.csv,16,8,8,1
model40998.csv,16,6,8,4
model15454.csv,14,7,7,2
model89568.csv,12,8,4,1
model19019.csv,15,9,7,1
model85128.csv,15,9,7,2
model55006.csv,14,9,7,1
model26788.csv,11,6,5,2
model55086.csv,14,7,7,2
model43131.csv,14,7,7,3
model47131.csv,16,7,8,2
model30506.csv,13,8,7,1
model17491.csv,12,6,5,1
model102431.csv,16,7,8,3
model89094.csv,16,7,7,3
model8549.csv,13,8,7,1
model109545.csv,16,8,8,1
model44419.csv,16,6,8,3
model98697.csv,13,7,5,2
model9211.csv,12,6,6,1
model70128.csv,14,6,6,2
model75306.csv,19,8,10,3
model112022.csv,15,6,7,2
model27151.csv,13,6,7,2
model36944.csv,15,7,8,1
model35379.csv,11,6,4,1
model87155.csv,16,7,7,3
model102473.csv,16,9,8,1
model1027.csv,12,9,6,1
model116491.csv,16,7,9,2
model24499.csv,16,7,8,3
model42443.csv,13,6,6,1
model98487.csv,11,6,4,1
model26867.csv,14,10,8,1
model101567.csv,14,6,6,1
model30485.csv,15,7,8,3
model44174.csv,16,7,8,2
model91301.csv,14,6,5,2
model104049.csv,18,8,10,3
model30102.csv,16,9,10,3
model96813.csv,17,9,9,2
model119272.csv,16,7,9,3
model90949.csv,17,6,8,3
model56600.csv,11,6,4,1
model123734.csv,13,6,7,1
model7878.csv,13,8,7,1
model90850.csv,15,6,6,2
model116096.csv,16,7,9,3
model81003.csv,14,8,7,1
model57052.csv,14,8,7,1
model43167.csv,14,7,7,2
model59196.csv,11,6,4,2
model52968.csv,13,7,5,2
model30310.csv,11,7,4,2
model41925.csv,11,6,3,1
model79003.csv,16,8,8,2
model71353.csv,13,6,6,1
model2052.csv,12,7,6,1
model53979.csv,12,7,4,1
model31695.csv,16,10,9,1
model53140.csv,16,7,8,3
model4500.csv,13,8,6,2
model48486.csv,16,9,8,1
model73868.csv,16,8,7,2
model67519.csv,15,7,7,1
model123461.csv,16,7,10,4
model98999.csv,16,8,8,2
model97547.csv,18,7,10,5
model26655.csv,14,7,7,2
model16440.csv,16,10,8,1
model97152.csv,17,9,9,2
model99110.csv,13,7,5,2
model99633.csv,13,6,6,2
model123445.csv,17,6,11,5
model110930.csv,16,8,8,2
model10456.csv,13,7,6,2
model117968.csv,14,6,7,3
model44438.csv,14,6,6,2
model51154.csv,12,7,5,1
model2229.csv,13,7,6,2
model108087.csv,16,6,8,3
model118315.csv,12,6,5,1
model21042.csv,15,8,7,1
model86007.csv,18,8,9,3
model79923.csv,15,7,7,2
model107794.csv,16,6,8,2
model66576.csv,15,6,6,2
model18199.csv,14,9,6,1
model77871.csv,12,8,4,1
model60726.csv,13,7,5,1
model83090.csv,17,7,9,4
model110526.csv,15,7,7,2
model17340.csv,13,6,6,2
model47836.csv,14,6,6,2
model74783.csv,17,12,8,1
model122424.csv,16,8,10,3
model117318.csv,14,7,7,1
model34352.csv,15,6,9,4
model68812.csv,15,6,6,1
model55128.csv,13,7,6,1
model5352.csv,14,7,7,1
model56624.csv,12,7,5,1
model112426.csv,18,8,10,3
model44551.csv,13,8,7,2
model98116.csv,14,7,7,3
model88739.csv,10,6,2,1
model115142.csv,16,6,9,3
model114064.csv,15,6,7,2
model31428.csv,13,7,7,2
model9254.csv,12,7,5,2
model120361.csv,14,8,7,2
model76465.csv,16,8,7,1
model55801.csv,12,8,5,1
model88389.csv,17,6,8,3
model30797.csv,17,7,10,4
model9264.csv,12,9,5,1
model64156.csv,13,6,6,1
model14664.csv,14,8,6,1
model3364.csv,12,8,6,1
model98700.csv,14,7,6,1
model67110.csv,15,7,6,2
model38234.csv,14,7,7,2
model101950.csv,15,6,8,3
model71051.csv,15,7,7,2
model38800.csv,15,9,8,1
model57895.csv,17,6,10,6
model99972.csv,15,6,7,2
model22313.csv,15,7,8,3
model1109.csv,12,7,6,2
model58941.csv,13,7,5,2
model72465.csv,15,8,6,2
model27463.csv,13,8,8,2
model56032.csv,12,7,5,1
model6625.csv,12,6,5,1
model74352.csv,17,9,9,2
model11823.csv,13,7,5,1
model36811.csv,12,6,5,1
model32996.csv,16,7,9,3
model100351.csv,16,7,8,2
model2119.csv,13,7,7,2
model121982.csv,18,8,11,3
model108082.csv,15,6,7,2
model71070.csv,17,9,9,2
model77961.csv,14,8,7,1
model13530.csv,16,6,8,4
model45265.csv,14,7,7,1
model57786.csv,14,8,7,1
model111070.csv,15,8,7,1
model56634.csv,11,6,4,1
model187.csv,11,6,5,1
model80005.csv,15,6,7,2
model119141.csv,16,6,9,3
model883.csv,11,7,4,1
model40843.csv,13,7,5,2
model73705.csv,15,6,6,2
model60147.csv,13,8,5,1
model114689.csv,16,7,9,3
model41113.csv,18,9,10,3
model73514.csv,16,9,8,2
model84426.csv,15,7,8,2
model25700.csv,13,8,8,1
model21061.csv,15,9,7,1
model46251.csv,15,8,7,1
model118999.csv,16,8,9,1
model9828.csv,15,7,8,2
model28050.csv,14,6,7,2
model102564.csv,13,6,6,2
model6583.csv,12,6,5,2
model15410.csv,14,7,7,2
model97748.csv,18,7,10,3
model95384.csv,17,9,9,1
model98818.csv,15,8,8,2
model101849.csv,13,6,6,2
model15579.csv,14,7,7,2
model21883.csv,15,7,7,2
model92188.csv,16,7,8,2
model58394.csv,12,7,6,1
model9876.csv,13,8,6,1
model28191.csv,15,6,9,4
model108854.csv,15,7,7,3
model61779.csv,12,7,4,1
model60299.csv,12,6,4,1
model46148.csv,16,6,8,4
model52256.csv,15,8,7,1
model76827.csv,17,8,8,3
model48128.csv,17,6,9,4
model55644.csv,14,7,7,2
model76265.csv,17,6,8,3
model98885.csv,14,7,6,2
model50562.csv,13,7,7,2
model79099.csv,14,6,6,2
model113444.csv,16,7,8,2
model880.csv,12,7,5,1
model105141.csv,15,6,7,2
model122237.csv,15,7,9,3
model82987.csv,19,6,11,5
model68328.csv,15,6,6,3
model70507.csv,14,6,6,1
model43832.csv,15,7,7,3
model114614.csv,15,7,8,2
model94691.csv,19,6,10,5
model21497.csv,15,9,7,1
model79173.csv,14,7,7,2
model47458.csv,15,7,7,2
model111707.csv,17,10,9,1
model57806.csv,18,7,11,4
model76118.csv,14,6,5,2
model73760.csv,17,9,8,1
model40961.csv,14,6,6,3
model59604.csv,14,8,6,1
model16431.csv,14,6,6,2
model19320.csv,14,7,6,2
model43006.csv,16,7,8,4
model61384.csv,13,7,6,2
model44422.csv,16,7,8,1
model120620.csv,15,8,8,2
model76138.csv,15,8,6,1
model69220.csv,13,6,5,1
model121739.csv,16,8,9,2
model88435.csv,17,7,8,2
model123293.csv,18,8,12,4
model36208.csv,12,6,5,2
model84815.csv,10,6,2,1
model48765.csv,13,6,5,2
model105519.csv,16,10,8,1
model86185.csv,14,7,5,1
model51555.csv,13,8,7,1
model45410.csv,16,10,8,2
model108649.csv,15,7,7,2
model2483.csv,14,8,7,1
model70664.csv,16,9,8,1
model120827.csv,16,8,9,1
model23046.csv,14,6,6,2
model32977.csv,15,6,8,3
model47375.csv,18,8,10,4
model31676.csv,14,7,7,1
model109084.csv,15,7,7,2
model53041.csv,15,7,7,1
model28091.csv,13,6,6,2
model61080.csv,15,6,7,3
model36902.csv,15,6,8,3
model22723.csv,16,6,8,4
model83526.csv,15,7,7,1
model33363.csv,11,6,6,1
model23235.csv,14,6,7,3
model12096.csv,15,7,7,2
model41377.csv,12,7,4,1
model50700.csv,14,7,7,2
model30703.csv,15,7,9,4
model43013.csv,15,9,7,1
model507.csv,12,8,5,1
model90254.csv,17,9,8,2
model113239.csv,15,7,7,1
model3226.csv,14,8,9,2
model54519.csv,16,7,8,3
model98051.csv,16,6,8,2
model49137.csv,16,7,8,3
model114536.csv,15,6,7,2
model111710.csv,17,6,9,4
model45426.csv,13,8,6,2
model21465.csv,14,7,7,2
model80863.csv,13,6,6,2
model18943.csv,15,7,8,3
model36788.csv,13,7,6,1
model95334.csv,18,7,10,4
model78049.csv,13,7,6,1
model54000.csv,13,7,5,1
model87174.csv,14,7,5,1
model100770.csv,13,6,5,2
model74606.csv,16,8,7,2
model52542.csv,13,6,5,1
model96875.csv,15,7,7,2
model10764.csv,11,7,4,1
model93955.csv,16,8,7,2
model17533.csv,14,7,7,2
model74893.csv,16,6,7,3
model47379.csv,16,7,8,3
model46294.csv,13,8,6,1
model4555.csv,12,7,5,1
model21882.csv,15,9,7,1
model92626.csv,16,7,7,2
model116733.csv,14,7,7,1
model29422.csv,11,6,6,2
model13235.csv,15,8,7,2
model71552.csv,14,6,7,1
model44898.csv,14,7,7,2
model27179.csv,11,6,6,2
model9827.csv,14,7,7,1
model16415.csv,13,8,5,1
model79493.csv,13,7,5,1
model5054.csv,15,11,8,1
model44031.csv,14,7,6,1
model51865.csv,16,6,9,4
model90286.csv,15,6,6,2
model20611.csv,14,8,6,1
model4776.csv,14,7,7,2
model66947.csv,16,9,7,1
model122499.csv,15,7,9,3
model25078.csv,13,8,6,2
model119725.csv,15,6,8,3
model73212.csv,15,8,6,1
model26461.csv,16,7,9,4
model114282.csv,17,6,9,4
model36581.csv,11,6,4,1
model99239.csv,12,7,5,2
model109420.csv,14,8,6,1
model112196.csv,17,6,9,4
model52444.csv,14,6,6,2
model61184.csv,16,8,8,3
model77005.csv,19,7,10,5
model102538.csv,12,6,5,2
model19097.csv,17,6,9,5
model29264.csv,13,7,6,2
model4886.csv,14,8,7,2
model80480.csv,15,6,7,3
model96898.csv,13,7,5,1
model77450.csv,16,7,8,2
model38869.csv,13,7,5,1
model46522.csv,13,6,5,2
model9314.csv,13,8,6,1
model82469.csv,15,6,7,3
model13793.csv,15,8,7,2
model37435.csv,15,6,8,2
model15102.csv,14,6,7,3
model82845.csv,16,7,9,3
model25887.csv,13,8,7,1
model65069.csv,13,7,4,2
model72445.csv,13,6,4,1
model21725.csv,14,8,6,1
model55204.csv,12,7,5,1
model114586.csv,14,6,6,1
model38586.csv,13,7,5,2
model44557.csv,12,6,6,2
model96692.csv,14,8,6,1
model84611.csv,16,7,9,3
model18234.csv,15,7,7,2
model30416.csv,13,8,6,1
model16850.csv,11,7,4,1
model7085.csv,13,8,6,2
model67693.csv,14,6,5,1
model108547.csv,16,6,8,4
model18038.csv,14,7,6,3
model106074.csv,13,6,5,2
model10346.csv,13,7,6,1
model113266.csv,17,8,9,2
model98000.csv,14,7,6,1
model111642.csv,15,6,7,3
model41788.csv,16,7,8,3
model5064.csv,14,8,7,3
model122344.csv,14,7,8,1
model25115.csv,12,8,6,1
model19852.csv,13,7,6,2
model63895.csv,15,7,7,1
model59305.csv,11,8,4,1
model79938.csv,16,7,8,2
model117233.csv,12,6,5,1
model119519.csv,17,7,10,3
model4572.csv,13,7,6,1
model55811.csv,14,7,7,2
model20214.csv,15,8,7,2
model9868.csv,11,6,4,1
model116411.csv,13,7,6,1
model114949.csv,15,6,8,2
model118972.csv,16,8,9,2
model95351.csv,17,7,9,3
model120155.csv,14,7,7,2
model112108.csv,16,6,8,3
model6461.csv,10,6,4,1
model49653.csv,12,6,5,1
model120009.csv,17,6,10,5
model115662.csv,16,8,9,2
model25164.csv,11,6,5,1
model56141.csv,13,7,6,1
model90023.csv,14,6,5,2
model91016.csv,16,7,8,2
model45445.csv,13,6,5,2
model49172.csv,17,6,9,5
model11974.csv,15,8,7,3
model98178.csv,16,6,9,3
model94277.csv,17,6,8,3
model70893.csv,16,6,8,3
model123406.csv,17,7,11,4
model8140.csv,13,6,8,4
model85448.csv,15,7,6,2
model20175.csv,12,8,4,2
model108008.csv,17,6,9,3
model35759.csv,14,7,7,2
model34500.csv,15,10,9,1
model85283.csv,16,8,7,2
model120146.csv,17,8,10,3
model111851.csv,14,7,6,1
model6096.csv,13,8,6,1
model56675.csv,12,7,5,1
model35906.csv,12,6,5,1
model39321.csv,16,6,9,5
model84823.csv,12,7,4,1
model43834.csv,14,8,6,1
model112618.csv,15,6,7,3
model116734.csv,14,7,7,1
model71475.csv,16,8,9,3
model16896.csv,13,6,6,3
model82094.csv,14,8,6,1
model99850.csv,15,9,7,1
model4517.csv,14,6,7,3
model121270.csv,18,6,11,5
model44481.csv,12,6,5,3
model117682.csv,15,6,8,3
model113966.csv,17,7,9,4
model68133.csv,15,6,6,2
model32484.csv,14,6,7,2
model57831.csv,18,7,11,5
model49209.csv,18,8,10,4
model39512.csv,13,7,6,2
model120828.csv,14,6,7,3
model82998.csv,17,6,9,4
model108614.csv,18,6,10,5
model80660.csv,14,6,6,2
model89068.csv,15,8,6,2
model43284.csv,11,6,4,2
model15182.csv,13,7,6,2
model25755.csv,15,9,9,2
model8084.csv,13,7,8,2
model85041.csv,13,7,4,2
model116499.csv,16,6,9,3
model77945.csv,14,8,6,1
model58333.csv,17,7,11,4
model12451.csv,10,6,4,1
model64213.csv,14,7,7,1
model96058.csv,14,6,6,3
model23908.csv,16,7,8,3
model123213.csv,15,7,9,3
model29785.csv,12,5,7,3
model22784.csv,15,7,7,3
model76734.csv,19,8,10,4
model19437.csv,16,6,9,5
model95626.csv,17,11,9,1
model43056.csv,15,7,7,2
model94456.csv,15,8,6,1
model114356.csv,19,6,11,5
model81568.csv,13,6,5,2
model53720.csv,16,8,8,1
model57394.csv,13,7,6,2
model22462.csv,16,8,9,2
model18982.csv,13,8,5,1
model70438.csv,14,7,6,1
model42474.csv,13,6,6,1
model52099.csv,11,6,4,1
model99976.csv,14,6,6,2
model105206.csv,14,7,6,1
model124179.csv,13,6,7,1
model30665.csv,16,9,9,2
model116833.csv,14,6,7,2
model66765.csv,15,6,6,1
model21173.csv,14,9,7,1
model52675.csv,15,6,7,2
model73282.csv,12,7,3,1
model9633.csv,13,7,6,1
model29909.csv,15,7,10,4
model12122.csv,12,6,4,1
model58931.csv,12,6,4,1
model59067.csv,14,8,6,1
model79295.csv,13,7,6,1
model91442.csv,14,8,5,1
model2044.csv,13,7,7,2
model40415.csv,15,8,7,3
model22654.csv,12,6,5,1
model9103.csv,14,6,7,2
model79508.csv,13,6,6,2
model118605.csv,13,6,6,1
model55623.csv,13,8,6,1
model14307.csv,14,6,6,4
model72942.csv,16,10,7,1
model118893.csv,12,6,6,1
model104047.csv,15,7,7,3
model28015.csv,15,7,8,3
model60526.csv,13,7,5,2
model51047.csv,14,8,7,2
model90012.csv,12,6,3,2
model88360.csv,16,7,7,1
model101908.csv,15,6,8,3
model39047.csv,14,8,6,1
model11364.csv,11,7,5,1
model38300.csv,13,7,5,1
model18241.csv,15,7,7,3
model116222.csv,12,7,5,1
model119722.csv,17,9,10,2
model38257.csv,13,8,6,1
model28010.csv,15,9,8,1
model26038.csv,12,9,5,1
model66072.csv,14,7,5,1
model70371.csv,13,7,5,1
model20644.csv,13,7,5,2
model49083.csv,14,8,7,1
model122691.csv,17,7,11,4
model117293.csv,16,6,9,3
model47727.csv,13,7,5,2
model787.csv,12,8,5,1
model62907.csv,16,7,8,2
model78542.csv,12,7,5,2
model19710.csv,14,8,8,2
model42842.csv,12,8,5,1
model74846.csv,18,8,9,2
model108621.csv,17,6,9,5
model54329.csv,14,7,6,1
model96865.csv,17,7,9,2
model28474.csv,13,7,6,2
model123708.csv,12,6,6,2
model28725.csv,15,9,8,2
model16873.csv,11,6,4,1
model112195.csv,16,7,8,3
model96583.csv,12,6,4,2
model38766.csv,16,6,8,3
model112162.csv,16,7,8,3
model95546.csv,19,9,11,3
model83081.csv,18,7,10,4
model24200.csv,13,6,5,2
model62830.csv,13,7,5,1
model8560.csv,12,7,6,2
model57973.csv,15,7,8,2
model17137.csv,13,6,6,2
model78032.csv,14,7,6,1
model26901.csv,14,7,8,3
model77507.csv,16,6,8,3
model31624.csv,17,6,10,4
model66688.csv,17,8,8,1
model54450.csv,14,7,6,1
model51438.csv,11,7,5,1
model21164.csv,13,6,6,2
model80558.csv,13,6,6,3
model121296.csv,18,6,11,5
model2412.csv,14,7,7,2
model38471.csv,13,7,5,1
model119524.csv,17,6,10,5
model45570.csv,13,8,5,1
model87117.csv,15,6,6,1
model49074.csv,14,6,7,3
model18797.csv,16,8,8,2
model13556.csv,14,7,6,1
model112145.csv,15,8,7,1
model91473.csv,17,11,8,1
model24805.csv,10,6,5,1
model44781.csv,17,8,10,4
model90471.csv,16,7,7,2
model92293.csv,16,7,8,1
model58293.csv,14,6,8,3
model15269.csv,14,8,7,2
model101958.csv,14,6,7,2
model80173.csv,15,8,8,2
model36100.csv,13,6,6,2
model58741.csv,10,7,3,1
model101079.csv,14,7,6,1
model67.csv,10,7,4,1
model39013.csv,12,7,4,2
model28774.csv,15,7,8,3
model13286.csv,14,6,6,2
model12166.csv,15,8,8,2
model36504.csv,15,6,8,2
model50766.csv,14,6,7,2
model108796.csv,15,6,7,2
model46056.csv,16,8,8,2
model19986.csv,14,6,7,2
model119419.csv,14,8,7,1
model88188.csv,13,6,4,1
model107199.csv,13,6,6,1
model62551.csv,15,8,7,1
model75408.csv,17,6,9,4
model101545.csv,15,7,7,1
model72821.csv,14,6,5,3
model64189.csv,13,8,6,1
model107124.csv,16,8,9,2
model119007.csv,15,8,8,2
model48513.csv,14,6,6,2
model93270.csv,18,8,9,2
model22787.csv,15,6,7,2
model68926.csv,16,7,7,2
model52027.csv,16,7,9,2
model76268.csv,16,6,7,2
model27687.csv,15,9,9,2
model97826.csv,20,6,12,7
model22535.csv,13,6,7,2
model42990.csv,15,8,8,3
model90674.csv,16,6,7,2
model107154.csv,13,7,6,1
model119394.csv,16,8,9,2
model98706.csv,14,8,6,1
model87334.csv,16,7,7,2
model51173.csv,14,6,7,3
model20168.csv,14,7,7,2
model91921.csv,12,6,4,1
model62939.csv,14,6,6,2
model88316.csv,15,7,6,1
model49310.csv,13,7,5,1
model39313.csv,14,7,7,1
model50448.csv,12,7,5,1
model31421.csv,15,7,9,4
model18134.csv,13,9,6,1
model90825.csv,14,6,5,2
model86367.csv,16,8,7,2
model62895.csv,14,7,6,1
model44541.csv,14,8,7,2
model36465.csv,17,8,10,3
model29243.csv,16,8,9,2
model20513.csv,18,6,10,4
model17613.csv,13,6,6,2
model117690.csv,15,8,8,1
model114694.csv,17,8,10,2
model106897.csv,13,6,6,1
model73758.csv,17,8,8,1
model41774.csv,15,8,7,1
model20654.csv,14,7,6,2
model61241.csv,13,6,5,1
model78391.csv,14,6,7,1
model64000.csv,16,8,8,2
model74327.csv,12,6,5,2
model81521.csv,16,8,8,3
model102159.csv,16,8,8,2
model25616.csv,14,8,8,1
model32491.csv,13,7,6,1
model87264.csv,15,7,6,1
model40265.csv,12,7,4,1
model78111.csv,15,7,7,2
model73979.csv,17,8,8,2
model82529.csv,13,7,6,1
model14535.csv,16,9,8,2
model73572.csv,15,7,6,1
model23026.csv,18,6,10,5
model121310.csv,19,7,12,6
model113935.csv,14,7,6,1
model116278.csv,15,7,8,1
model71806.csv,13,7,4,1
model1426.csv,13,7,7,2
model46888.csv,12,6,4,1
model104570.csv,17,8,9,2
model98144.csv,16,6,9,5
model7313.csv,15,7,8,3
model84711.csv,14,6,7,1
model79075.csv,16,8,8,2
model11926.csv,12,6,4,1
model37752.csv,13,7,6,2
model103449.csv,14,6,6,2
model57181.csv,13,7,6,1
model89708.csv,11,7,2,1
model33829.csv,14,9,8,1
model101076.csv,15,7,7,2
model100326.csv,13,6,5,1
model39882.csv,14,6,6,2
model49190.csv,19,7,11,5
model108446.csv,15,7,7,1
model93515.csv,17,8,8,2
model24298.csv,13,7,5,1
model82391.csv,14,6,6,2
model12075.csv,14,8,6,1
model75924.csv,15,6,6,2
model30855.csv,11,7,4,1
model117329.csv,14,7,7,1
model123968.csv,17,8,11,3
model118545.csv,15,6,8,2
model54309.csv,17,7,9,3
model9835.csv,14,7,7,1
model110082.csv,15,6,8,3
model113104.csv,15,7,7,2
model48133.csv,17,6,9,4
model113199.csv,15,7,7,2
model44732.csv,14,8,7,2
model110502.csv,13,6,5,1
model98901.csv,14,8,6,2
model94519.csv,15,6,6,2
model78291.csv,13,7,6,1
model99585.csv,16,7,8,3
model93447.csv,16,6,7,3
model35593.csv,12,7,5,1
model93582.csv,16,6,7,3
model80006.csv,15,7,7,2
model39866.csv,15,7,7,3
model57794.csv,13,7,6,2
model43912.csv,15,8,8,1
model21174.csv,14,7,7,2
model95670.csv,15,7,7,2
model55301.csv,13,6,6,2
model31618.csv,17,6,10,5
model76738.csv,16,8,7,2
model83595.csv,15,7,8,2
model5056.csv,14,7,7,2
model112154.csv,17,7,9,3
model95781.csv,14,8,6,1
model117649.csv,15,6,8,3
model56602.csv,10,6,3,1
model85215.csv,16,9,7,2
model13883.csv,14,8,6,2
model85663.csv,15,8,7,1
model85210.csv,15,9,6,1
model39572.csv,15,6,8,3
model122349.csv,15,7,9,2
model32632.csv,15,9,8,2
model39655.csv,15,7,8,2
model80927.csv,14,8,8,2
model118650.csv,13,7,6,1
model27136.csv,13,8,7,2
model34208.csv,12,7,7,1
model2500.csv,12,7,5,1
model61493.csv,11,6,4,1
model48009.csv,16,7,8,2
model71163.csv,14,6,7,2
model119058.csv,18,12,11,1
model108296.csv,14,7,6,1
model56442.csv,15,8,8,2
model845.csv,13,7,7,3
model49034.csv,17,6,9,3
model40372.csv,17,10,9,2
model61091.csv,16,7,8,5
model106851.csv,15,6,8,3
model85653.csv,15,8,7,1
model92880.csv,15,7,6,2
model44322.csv,14,7,6,1
model121824.csv,16,8,9,2
model111084.csv,14,6,6,2
model71871.csv,16,7,7,3
model100572.csv,18,9,10,2
model95027.csv,18,7,9,4
model90356.csv,15,6,6,2
model26489.csv,12,6,5,2
model116525.csv,15,6,8,2
model86089.csv,14,7,6,2
