model,critical_length,minimal_number_of_queries,number_of_non_explainable,all_explainable_minimal_number_of_queries
model117565.csv,13,8,2,10
model83808.csv,16,8,16,24
model64743.csv,15,9,9,18
model113374.csv,14,8,18,26
model5225.csv,12,6,14,20
model27029.csv,13,7,15,22
model6045.csv,9,7,3,10
model24031.csv,12,6,14,20
model14844.csv,15,8,17,25
model89225.csv,12,6,8,14
model113296.csv,17,7,18,25
model97069.csv,14,7,15,22
model76032.csv,16,7,14,21
model120242.csv,16,7,20,27
model59918.csv,13,8,11,19
model8945.csv,11,8,4,12
model104576.csv,15,6,14,20
model47024.csv,15,8,15,23
model119513.csv,17,6,21,27
model99866.csv,14,6,14,20
model14462.csv,11,9,3,12
model100271.csv,14,8,7,15
model51307.csv,13,7,22,29
model23237.csv,15,8,18,26
model36864.csv,15,8,18,26
model57483.csv,14,7,18,25
model78252.csv,13,7,13,20
model77663.csv,14,8,14,22
model95910.csv,15,7,12,19
model108257.csv,14,6,12,18
model120236.csv,16,9,18,27
model113899.csv,15,6,20,26
model48206.csv,17,8,17,25
model746.csv,12,10,10,20
model7183.csv,14,9,18,27
model74038.csv,17,8,13,21
model92926.csv,18,9,9,18
model32561.csv,16,8,20,28
model32840.csv,16,7,22,29
model82431.csv,16,6,16,22
model57363.csv,11,7,23,30
model32146.csv,10,6,8,14
model44536.csv,14,7,13,20
model103061.csv,16,8,12,20
model15405.csv,13,8,14,22
model48799.csv,13,6,19,25
model2524.csv,10,6,18,24
model29691.csv,14,6,16,22
model84608.csv,16,8,16,24
model71973.csv,14,9,2,11
model102245.csv,13,7,12,19
model101316.csv,13,6,14,20
model89898.csv,13,6,5,11
model99007.csv,15,8,11,19
model49809.csv,14,8,18,26
model114746.csv,17,7,18,25
model93991.csv,17,7,12,19
model47084.csv,15,8,18,26
model119063.csv,16,6,19,25
model56643.csv,13,8,16,24
model56994.csv,14,7,17,24
model91575.csv,15,6,18,24
model14877.csv,16,8,17,25
model87400.csv,15,7,17,24
model72071.csv,15,6,12,18
model93398.csv,19,8,14,22
model19246.csv,15,7,14,21
model111971.csv,18,9,12,21
model18179.csv,12,8,9,17
model98082.csv,15,6,20,26
model17998.csv,13,8,9,17
model41791.csv,16,7,18,25
model56641.csv,12,6,18,24
model73737.csv,18,9,13,22
model40001.csv,15,8,13,21
model102817.csv,13,7,11,18
model18896.csv,16,8,9,17
model25587.csv,13,7,10,17
model58590.csv,10,8,10,18
model49278.csv,14,6,21,27
model31486.csv,15,8,19,27
model2092.csv,14,10,14,24
model123399.csv,17,10,16,26
model100928.csv,17,7,14,21
model63832.csv,15,7,16,23
model33205.csv,11,7,9,16
model45887.csv,13,7,14,21
model7923.csv,14,9,14,23
model44605.csv,15,8,12,20
model113521.csv,17,7,18,25
model106992.csv,16,7,17,24
model16835.csv,11,6,20,26
model74950.csv,17,7,14,21
model115485.csv,14,7,11,18
model14977.csv,14,6,16,22
model36539.csv,14,6,17,23
model103570.csv,12,6,5,11
model117963.csv,13,6,9,15
model112194.csv,16,8,6,14
model46577.csv,12,6,7,13
model5895.csv,11,8,18,26
model3774.csv,9,6,13,19
model79957.csv,14,6,19,25
model46563.csv,12,6,16,22
model51514.csv,13,6,22,28
model8943.csv,11,6,7,13
model24694.csv,16,8,13,21
model69828.csv,14,7,13,20
model63475.csv,14,9,11,20
model73748.csv,16,9,13,22
model75406.csv,13,6,18,24
model67276.csv,14,9,11,20
model85752.csv,14,7,7,14
model57290.csv,14,6,22,28
model37526.csv,14,7,22,29
model32822.csv,16,6,22,28
model53137.csv,14,6,18,24
model35415.csv,12,7,19,26
model6876.csv,13,8,14,22
model52171.csv,13,7,7,14
model4552.csv,13,6,18,24
model58168.csv,14,8,18,26
model85123.csv,14,8,10,18
model7924.csv,13,8,15,23
model54738.csv,15,9,17,26
model42783.csv,12,8,9,17
model99422.csv,13,6,4,10
model95990.csv,16,8,13,21
model40998.csv,16,6,18,24
model15454.csv,14,7,18,25
model111907.csv,14,7,13,20
model89568.csv,12,8,13,21
model19019.csv,15,9,10,19
model85128.csv,15,9,9,18
model55006.csv,14,9,16,25
model26788.csv,11,6,16,22
model55086.csv,14,7,17,24
model101723.csv,13,6,14,20
model43131.csv,14,7,10,17
model18346.csv,10,7,2,9
model47131.csv,16,7,17,24
model30506.csv,13,8,18,26
model17491.csv,12,6,16,22
model7742.csv,9,6,18,24
model102431.csv,16,7,10,17
model89094.csv,16,7,11,18
model8549.csv,13,8,18,26
model109545.csv,16,8,16,24
model44419.csv,16,6,14,20
model98697.csv,13,7,11,18
model9211.csv,12,6,20,26
model70128.csv,14,6,14,20
model91949.csv,15,11,17,28
model75306.csv,19,8,14,22
model112022.csv,15,6,15,21
model24732.csv,12,7,15,22
model27151.csv,13,6,16,22
model36944.csv,15,7,18,25
model35379.csv,11,6,21,27
model87155.csv,16,7,15,22
model102473.csv,16,9,9,18
model1027.csv,12,9,9,18
model116491.csv,16,7,15,22
model24499.csv,16,7,16,23
model42443.csv,13,6,8,14
model98487.csv,11,6,3,9
model90197.csv,12,7,4,11
model26867.csv,14,10,12,22
model101567.csv,14,6,15,21
model30485.csv,15,7,16,23
model44174.csv,16,7,14,21
model91301.csv,14,6,19,25
model104049.csv,18,8,10,18
model30102.csv,16,9,18,27
model61668.csv,11,8,17,25
model96813.csv,17,9,14,23
model33219.csv,12,8,16,24
model119272.csv,16,7,19,26
model13034.csv,11,7,15,22
model61097.csv,13,9,13,22
model90949.csv,17,6,16,22
model56600.csv,11,6,7,13
model42594.csv,11,8,3,11
model33610.csv,9,5,22,27
model123734.csv,13,6,20,26
model108293.csv,14,7,6,13
model7878.csv,13,8,13,21
model90850.csv,15,6,17,23
model116096.csv,16,7,9,16
model81003.csv,14,8,17,25
model57052.csv,14,8,18,26
model43167.csv,14,7,9,16
model59196.csv,11,6,13,19
model52968.csv,13,7,8,15
model30310.csv,11,7,15,22
model41925.csv,11,6,7,13
model13236.csv,14,9,14,23
model79003.csv,16,8,14,22
model92235.csv,16,8,15,23
model71353.csv,13,6,14,20
model13198.csv,12,8,12,20
model37656.csv,14,8,19,27
model2052.csv,12,7,13,20
model53979.csv,12,7,20,27
model31695.csv,16,10,18,28
model53140.csv,16,7,18,25
model4500.csv,13,8,14,22
model48486.csv,16,9,16,25
model109855.csv,13,7,18,25
model73868.csv,16,8,4,12
model67519.csv,15,7,13,20
model123461.csv,16,7,20,27
model60400.csv,12,7,11,18
model98999.csv,16,8,10,18
model97547.csv,18,7,20,27
model26655.csv,14,7,16,23
model16440.csv,16,10,16,26
model108208.csv,12,8,3,11
model97152.csv,17,9,15,24
model99110.csv,13,7,9,16
model99633.csv,13,6,13,19
model123445.csv,17,6,20,26
model110930.csv,16,8,9,17
model10456.csv,13,7,19,26
model48060.csv,13,7,17,24
model117968.csv,14,6,8,14
model44438.csv,14,6,15,21
model51154.csv,12,7,21,28
model2229.csv,13,7,16,23
model2185.csv,11,6,17,23
model67523.csv,13,8,14,22
model108087.csv,16,6,16,22
model99811.csv,14,9,4,13
model118315.csv,12,6,13,19
model21042.csv,15,8,15,23
model86007.csv,18,8,10,18
model79923.csv,15,7,15,22
model107794.csv,16,6,14,20
model66576.csv,15,6,13,19
model18199.csv,14,9,11,20
model77871.csv,12,8,9,17
model60726.csv,13,7,14,21
model27246.csv,9,6,19,25
model83090.csv,17,7,16,23
model834.csv,11,7,13,20
model110526.csv,15,7,10,17
model17340.csv,13,6,19,25
model47836.csv,14,6,17,23
model74783.csv,17,12,9,21
model122424.csv,16,8,19,27
model15612.csv,11,8,20,28
model117318.csv,14,7,14,21
model34352.csv,15,6,21,27
model68812.csv,15,6,14,20
model106653.csv,13,8,14,22
model55128.csv,13,7,18,25
model5352.csv,14,7,16,23
model56624.csv,12,7,8,15
model112426.csv,18,8,13,21
model44551.csv,13,8,13,21
model45851.csv,11,8,3,11
model64271.csv,13,7,13,20
model98116.csv,14,7,21,28
model88739.csv,10,6,1,7
model115142.csv,16,6,19,25
model114064.csv,15,6,20,26
model31428.csv,13,7,20,27
model9254.csv,12,7,14,21
model120361.csv,14,8,21,29
model76465.csv,16,8,11,19
model55801.csv,12,8,15,23
model104642.csv,15,9,12,21
model88389.csv,17,6,15,21
model30797.csv,17,7,19,26
model9264.csv,12,9,13,22
model64156.csv,13,6,14,20
model14664.csv,14,8,13,21
model3364.csv,12,8,13,21
model98700.csv,14,7,10,17
model67110.csv,15,7,14,21
model3910.csv,11,9,15,24
model38234.csv,14,7,9,16
model101950.csv,15,6,10,16
model71051.csv,15,7,14,21
model109887.csv,15,7,16,23
model38800.csv,15,9,9,18
model57895.csv,17,6,21,27
model99972.csv,15,6,12,18
model80130.csv,14,9,15,24
model45716.csv,15,12,3,15
model22313.csv,15,7,20,27
model1109.csv,12,7,14,21
model118890.csv,13,7,18,25
model58941.csv,13,7,11,18
model72465.csv,15,8,9,17
model27463.csv,13,8,18,26
model56032.csv,12,7,3,10
model6625.csv,12,6,19,25
model74352.csv,17,9,14,23
model11823.csv,13,7,9,16
model36811.csv,12,6,19,25
model32996.csv,16,7,20,27
model100351.csv,16,7,13,20
model2119.csv,13,7,16,23
model106493.csv,13,6,16,22
model121982.csv,18,8,18,26
model108082.csv,15,6,16,22
model71070.csv,17,9,12,21
model46934.csv,13,10,4,14
model65499.csv,12,7,9,16
model10905.csv,10,8,2,10
model5454.csv,12,9,19,28
model77961.csv,14,8,7,15
model13530.csv,16,6,16,22
model45265.csv,14,7,16,23
model57786.csv,14,8,19,27
model111070.csv,15,8,15,23
model104223.csv,13,9,9,18
model24526.csv,14,9,15,24
model56634.csv,11,6,9,15
model187.csv,11,6,13,19
model80005.csv,15,6,18,24
model119141.csv,16,6,19,25
model14269.csv,11,8,3,11
model44930.csv,11,6,17,23
model883.csv,11,7,14,21
model40843.csv,13,7,15,22
model17428.csv,11,6,19,25
model73705.csv,15,6,14,20
model71345.csv,14,8,12,20
model60147.csv,13,8,13,21
model114689.csv,16,7,19,26
model41113.csv,18,9,15,24
model73514.csv,16,9,13,22
model84426.csv,15,7,18,25
model25700.csv,13,8,10,18
model21061.csv,15,9,15,24
model46251.csv,15,8,16,24
model118999.csv,16,8,17,25
model9828.csv,15,7,13,20
model112849.csv,12,8,3,11
model28050.csv,14,6,16,22
model37934.csv,11,7,19,26
model102564.csv,13,6,11,17
model6583.csv,12,6,16,22
model15410.csv,14,7,17,24
model97748.csv,18,7,18,25
model95384.csv,17,9,16,25
model98818.csv,15,8,9,17
model101849.csv,13,6,10,16
model15579.csv,14,7,18,25
model21883.csv,15,7,17,24
model92188.csv,16,7,17,24
model58394.csv,12,7,20,27
model9876.csv,13,8,20,28
model28191.csv,15,6,15,21
model108854.csv,15,7,15,22
model69705.csv,14,8,12,20
model61779.csv,12,7,5,12
model60299.csv,12,6,14,20
model1880.csv,11,7,9,16
model46148.csv,16,6,18,24
model52256.csv,15,8,16,24
model76827.csv,17,8,15,23
model48128.csv,17,6,19,25
model55644.csv,14,7,17,24
model76265.csv,17,6,12,18
model98885.csv,14,7,3,10
model2985.csv,12,8,12,20
model50562.csv,13,7,18,25
model79099.csv,14,6,5,11
model113444.csv,16,7,18,25
model880.csv,12,7,13,20
model105141.csv,15,6,15,21
model122237.csv,15,7,20,27
model42333.csv,10,8,1,9
model65720.csv,13,8,9,17
model82987.csv,19,6,17,23
model68328.csv,15,6,5,11
model70507.csv,14,6,14,20
model43832.csv,15,7,12,19
model114614.csv,15,7,19,26
model94691.csv,19,6,17,23
model21497.csv,15,9,18,27
model79173.csv,14,7,15,22
model47458.csv,15,7,17,24
model111707.csv,17,10,9,19
model57806.csv,18,7,18,25
model76118.csv,14,6,6,12
model73760.csv,17,9,13,22
model40961.csv,14,6,20,26
model59604.csv,14,8,8,16
model16431.csv,14,6,19,25
model19320.csv,14,7,14,21
model43006.csv,16,7,12,19
model61384.csv,13,7,15,22
model44422.csv,16,7,12,19
model120620.csv,15,8,20,28
model76138.csv,15,8,12,20
model69220.csv,13,6,15,21
model121739.csv,16,8,19,27
model88435.csv,17,7,14,21
model123293.csv,18,8,18,26
model36208.csv,12,6,21,27
model84815.csv,10,6,3,9
model48765.csv,13,6,10,16
model23250.csv,13,8,2,10
model11062.csv,12,7,6,13
model105519.csv,16,10,13,23
model86185.csv,14,7,12,19
model51555.csv,13,8,21,29
model110296.csv,14,8,12,20
model45410.csv,16,10,14,24
model841.csv,11,8,13,21
model108649.csv,15,7,15,22
model2483.csv,14,8,15,23
model70664.csv,16,9,12,21
model10893.csv,10,8,3,11
model120827.csv,16,8,18,26
model26.csv,7,5,3,8
model23046.csv,14,6,18,24
model32977.csv,15,6,21,27
model47375.csv,18,8,16,24
model31676.csv,14,7,20,27
model91408.csv,12,9,3,12
model109084.csv,15,7,16,23
model53041.csv,15,7,16,23
model112171.csv,12,8,1,9
model28091.csv,13,6,16,22
model67371.csv,13,7,14,21
model61080.csv,15,6,14,20
model36902.csv,15,6,20,26
model22723.csv,16,6,16,22
model83526.csv,15,7,17,24
model33363.csv,11,6,20,26
model23235.csv,14,6,20,26
model34729.csv,12,7,21,28
model12096.csv,15,7,14,21
model41377.csv,12,7,8,15
model69311.csv,12,10,4,14
model50700.csv,14,7,18,25
model30703.csv,15,7,20,27
model88028.csv,12,6,3,9
model43013.csv,15,9,10,19
model1899.csv,10,7,9,16
model507.csv,12,8,13,21
model64969.csv,13,7,8,15
model90254.csv,17,9,12,21
model113239.csv,15,7,18,25
model3226.csv,14,8,15,23
model54519.csv,16,7,19,26
model98051.csv,16,6,19,25
model49137.csv,16,7,20,27
model114536.csv,15,6,20,26
model111710.csv,17,6,12,18
model45426.csv,13,8,16,24
model21465.csv,14,7,16,23
model80863.csv,13,6,20,26
model18943.csv,15,7,10,17
model36788.csv,13,7,18,25
model95334.csv,18,7,18,25
model20066.csv,12,10,2,12
model78049.csv,13,7,11,18
model54000.csv,13,7,19,26
model87174.csv,14,7,15,22
model100770.csv,13,6,11,17
model74606.csv,16,8,15,23
model52542.csv,13,6,18,24
model96875.csv,15,7,17,24
model88187.csv,14,7,15,22
model10764.csv,11,7,10,17
model64143.csv,12,7,14,21
model93955.csv,16,8,5,13
model17533.csv,14,7,15,22
model51918.csv,13,8,19,27
model74893.csv,16,6,16,22
model47379.csv,16,7,17,24
model46294.csv,13,8,17,25
model4555.csv,12,7,17,24
model21882.csv,15,9,16,25
model92626.csv,16,7,16,23
model116733.csv,14,7,17,24
model29422.csv,11,6,18,24
model86633.csv,14,9,8,17
model13235.csv,15,8,15,23
model71552.csv,14,6,13,19
model44898.csv,14,7,12,19
model27179.csv,11,6,15,21
model9827.csv,14,7,13,20
model24355.csv,13,7,18,25
model16415.csv,13,8,14,22
model79493.csv,13,7,16,23
model3458.csv,10,6,16,22
model5054.csv,15,11,14,25
model44031.csv,14,7,12,19
model51865.csv,16,6,20,26
model90286.csv,15,6,14,20
model65735.csv,15,9,7,16
model20611.csv,14,8,11,19
model4776.csv,14,7,16,23
model66947.csv,16,9,11,20
model122499.csv,15,7,20,27
model25078.csv,13,8,10,18
model119725.csv,15,6,21,27
model73212.csv,15,8,10,18
model26461.csv,16,7,14,21
model114282.csv,17,6,20,26
model36581.csv,11,6,8,14
model99239.csv,12,7,14,21
model109420.csv,14,8,18,26
model112196.csv,17,6,7,13
model31028.csv,10,7,3,10
model52444.csv,14,6,12,18
model61184.csv,16,8,14,22
model77005.csv,19,7,15,22
model102538.csv,12,6,4,10
model33794.csv,15,11,17,28
model19097.csv,17,6,14,20
model29264.csv,13,7,21,28
model4886.csv,14,8,12,20
model80480.csv,15,6,19,25
model96898.csv,13,7,17,24
model77450.csv,16,7,14,21
model38869.csv,13,7,5,12
model46522.csv,13,6,17,23
model9314.csv,13,8,14,22
model82469.csv,15,6,17,23
model13793.csv,15,8,15,23
model37435.csv,15,6,21,27
model104879.csv,12,7,12,19
model15102.csv,14,6,14,20
model82845.csv,16,7,17,24
model25887.csv,13,8,12,20
model65069.csv,13,7,12,19
model72445.csv,13,6,3,9
model21970.csv,9,6,3,9
model116804.csv,11,7,3,10
model21725.csv,14,8,20,28
model5816.csv,13,9,18,27
model85313.csv,16,9,8,17
model55204.csv,12,7,6,13
model114586.csv,14,6,20,26
model38586.csv,13,7,12,19
model44557.csv,12,6,14,20
model96692.csv,14,8,11,19
model84611.csv,16,7,18,25
model83181.csv,12,7,3,10
model18234.csv,15,7,10,17
model30416.csv,13,8,17,25
model10496.csv,13,8,18,26
model16850.csv,11,7,5,12
model7085.csv,13,8,18,26
model67693.csv,14,6,14,20
model108547.csv,16,6,7,13
model18038.csv,14,7,11,18
model61863.csv,13,8,14,22
model106074.csv,13,6,18,24
model28145.csv,11,8,2,10
model11097.csv,11,8,3,11
model10346.csv,13,7,19,26
model113266.csv,17,8,17,25
model98000.csv,14,7,20,27
model111642.csv,15,6,7,13
model84838.csv,11,7,3,10
model41788.csv,16,7,18,25
model5064.csv,14,8,17,25
model122344.csv,14,7,19,26
model35158.csv,11,7,20,27
model25115.csv,12,8,11,19
model19852.csv,13,7,15,22
model63895.csv,15,7,13,20
model59305.csv,11,8,11,19
model79938.csv,16,7,14,21
model65954.csv,13,8,12,20
model117233.csv,12,6,3,9
model119519.csv,17,7,19,26
model4572.csv,13,7,16,23
model55811.csv,14,7,17,24
model20214.csv,15,8,14,22
model9868.csv,11,6,19,25
model116411.csv,13,7,17,24
model114949.csv,15,6,19,25
model118972.csv,16,8,18,26
model95351.csv,17,7,18,25
model120155.csv,14,7,21,28
model112108.csv,16,6,15,21
model61605.csv,10,6,16,22
model6461.csv,10,6,7,13
model49653.csv,12,6,16,22
model120009.csv,17,6,21,27
model115662.csv,16,8,8,16
model5805.csv,11,8,20,28
model25164.csv,11,6,12,18
model99837.csv,12,7,12,19
model56141.csv,13,7,11,18
model90023.csv,14,6,15,21
model88738.csv,10,8,0,8
model91016.csv,16,7,15,22
model45445.csv,13,6,6,12
model10736.csv,11,7,9,16
model49172.csv,17,6,21,27
model35926.csv,12,7,16,23
model11974.csv,15,8,16,24
model98178.csv,16,6,19,25
model94277.csv,17,6,16,22
model70893.csv,16,6,14,20
model123406.csv,17,7,19,26
model8140.csv,13,6,14,20
model3900.csv,10,6,16,22
model85448.csv,15,7,11,18
model20175.csv,12,8,4,12
model108008.csv,17,6,15,21
model35759.csv,14,7,20,27
model34500.csv,15,10,18,28
model47926.csv,12,7,3,10
model85283.csv,16,8,10,18
model120146.csv,17,8,19,27
model111851.csv,14,7,7,14
model6096.csv,13,8,14,22
model56675.csv,12,7,18,25
model35906.csv,12,6,17,23
model39321.csv,16,6,14,20
model91947.csv,13,9,19,28
model84823.csv,12,7,2,9
model43834.csv,14,8,11,19
model112618.csv,15,6,17,23
model116734.csv,14,7,17,24
model71475.csv,16,8,13,21
model16896.csv,13,6,18,24
model82094.csv,14,8,16,24
model99850.csv,15,9,11,20
model4517.csv,14,6,14,20
model73851.csv,12,8,1,9
model121270.csv,18,6,20,26
model44481.csv,12,6,7,13
model117682.csv,15,6,10,16
model113966.csv,17,7,20,27
model68133.csv,15,6,14,20
model32484.csv,14,6,21,27
model57831.csv,18,7,19,26
model66295.csv,14,8,10,18
model49209.csv,18,8,19,27
model39512.csv,13,7,17,24
model120828.csv,14,6,22,28
model82998.csv,17,6,18,24
model108614.csv,18,6,14,20
model80660.csv,14,6,17,23
model89068.csv,15,8,9,17
model43284.csv,11,6,15,21
model112729.csv,13,7,6,13
model15182.csv,13,7,15,22
model25755.csv,15,9,10,19
model8084.csv,13,7,20,27
model85041.csv,13,7,12,19
model116499.csv,16,6,16,22
model77945.csv,14,8,8,16
model79775.csv,13,11,4,15
model58333.csv,17,7,18,25
model12451.csv,10,6,16,22
model64213.csv,14,7,13,20
model96058.csv,14,6,9,15
model12895.csv,12,7,15,22
model23908.csv,16,7,17,24
model123213.csv,15,7,20,27
model29785.csv,12,5,21,26
model28810.csv,11,7,5,12
model22784.csv,15,7,17,24
model76734.csv,19,8,14,22
model10644.csv,12,7,15,22
model19437.csv,16,6,16,22
model95626.csv,17,11,16,27
model58647.csv,11,8,10,18
model43056.csv,15,7,10,17
model94456.csv,15,8,7,15
model114356.csv,19,6,19,25
model81568.csv,13,6,7,13
model53720.csv,16,8,15,23
model57394.csv,13,7,21,28
model22462.csv,16,8,18,26
model18982.csv,13,8,6,14
model69213.csv,16,10,11,21
model70438.csv,14,7,16,23
model12116.csv,12,10,4,14
model42474.csv,13,6,10,16
model52099.csv,11,6,7,13
model11600.csv,11,7,2,9
model106482.csv,13,6,16,22
model99976.csv,14,6,13,19
model105206.csv,14,7,16,23
model124179.csv,13,6,20,26
model30665.csv,16,9,18,27
model116833.csv,14,6,7,13
model66765.csv,15,6,11,17
model21173.csv,14,9,15,24
model52675.csv,15,6,17,23
model73282.csv,12,7,3,10
model9633.csv,13,7,12,19
model29909.csv,15,7,19,26
model12122.csv,12,6,5,11
model58931.csv,12,6,2,8
model59067.csv,14,8,10,18
model87846.csv,17,10,9,19
model79295.csv,13,7,11,18
model91442.csv,14,8,12,20
model2044.csv,13,7,13,20
model40415.csv,15,8,18,26
model104170.csv,14,10,3,13
model22654.csv,12,6,19,25
model9103.csv,14,6,17,23
model34877.csv,13,9,20,29
model79508.csv,13,6,16,22
model100738.csv,14,8,4,12
model118605.csv,13,6,20,26
model65908.csv,13,8,3,11
model55623.csv,13,8,17,25
model14307.csv,14,6,16,22
model72942.csv,16,10,9,19
model118893.csv,12,6,20,26
model104047.csv,15,7,13,20
model21422.csv,12,8,5,13
model28015.csv,15,7,16,23
model7333.csv,11,6,20,26
model60526.csv,13,7,14,21
model51047.csv,14,8,20,28
model90012.csv,12,6,17,23
model289.csv,11,8,10,18
model88360.csv,16,7,14,21
model7601.csv,11,8,13,21
model101908.csv,15,6,10,16
model10988.csv,10,8,13,21
model39047.csv,14,8,12,20
model19640.csv,13,8,15,23
model11364.csv,11,7,13,20
model2582.csv,7,5,2,7
model38300.csv,13,7,7,14
model18241.csv,15,7,11,18
model647.csv,9,7,2,9
model116222.csv,12,7,6,13
model119722.csv,17,9,18,27
model38257.csv,13,8,9,17
model1523.csv,9,7,3,10
model28010.csv,15,9,14,23
model26038.csv,12,9,3,12
model66072.csv,14,7,11,18
model70371.csv,13,7,16,23
model20644.csv,13,7,17,24
model78560.csv,15,10,8,18
model49083.csv,14,8,19,27
model122691.csv,17,7,19,26
model117293.csv,16,6,11,17
model47727.csv,13,7,8,15
model787.csv,12,8,11,19
model62907.csv,16,7,13,20
model78542.csv,12,7,14,21
model19710.csv,14,8,14,22
model42842.csv,12,8,4,12
model16745.csv,11,9,4,13
model74846.csv,18,8,13,21
model108621.csv,17,6,15,21
model54329.csv,14,7,21,28
model96865.csv,17,7,15,22
model28474.csv,13,7,17,24
model123708.csv,12,6,22,28
model33151.csv,10,6,18,24
model28725.csv,15,9,14,23
model16873.csv,11,6,14,20
model112195.csv,16,7,7,14
model96583.csv,12,6,7,13
model23763.csv,15,9,13,22
model38766.csv,16,6,11,17
model112162.csv,16,7,7,14
model95546.csv,19,9,16,25
model1906.csv,10,6,9,15
model118926.csv,12,6,20,26
model83081.csv,18,7,17,24
model24200.csv,13,6,17,23
model62830.csv,13,7,13,20
model8560.csv,12,7,20,27
model113324.csv,16,10,16,26
model57973.csv,15,7,19,26
model17137.csv,13,6,20,26
model78032.csv,14,7,11,18
model26901.csv,14,7,16,23
model1257.csv,11,8,12,20
model77507.csv,16,6,15,21
model31624.csv,17,6,19,25
model66688.csv,17,8,11,19
model54450.csv,14,7,19,26
model14935.csv,13,6,18,24
model51438.csv,11,7,23,30
model21164.csv,13,6,17,23
model80558.csv,13,6,21,27
model121296.csv,18,6,20,26
model2412.csv,14,7,16,23
model38471.csv,13,7,10,17
model119524.csv,17,6,21,27
model45570.csv,13,8,15,23
model87117.csv,15,6,12,18
model49074.csv,14,6,21,27
model25233.csv,11,7,2,9
model38612.csv,11,6,3,9
model18797.csv,16,8,9,17
model13556.csv,14,7,15,22
model112145.csv,15,8,5,13
