model,mnd-value,best-alternative,challengers
model206.csv,3,234,"['145', '135', '125']"
model243.csv,2,145,"['235', '234']"
model105.csv,3,125,"['234', '134', '34']"
model435.csv,3,15,"['34', '24', '23']"
model478.csv,2,145,"['235', '234']"
model19.csv,2,145,"['235', '234']"
model253.csv,2,145,"['235', '234']"
model130.csv,3,34,"['125', '25', '15']"
model466.csv,2,15,"['24', '23']"
model271.csv,2,145,"['235', '234']"
model386.csv,3,15,"['34', '24', '23']"
model464.csv,3,15,"['34', '24', '23']"
model103.csv,4,15,"['234', '34', '24', '23']"
model361.csv,3,15,"['34', '24', '23']"
model349.csv,2,234,"['135', '125']"
model258.csv,4,15,"['234', '34', '24', '23']"
model61.csv,3,34,"['125', '25', '15']"
model23.csv,2,145,"['235', '234']"
model409.csv,3,234,"['145', '135', '125']"
model52.csv,2,145,"['235', '234']"
model79.csv,2,145,"['235', '234']"
model424.csv,4,15,"['234', '34', '24', '23']"
model188.csv,3,125,"['234', '134', '34']"
model210.csv,3,34,"['125', '25', '15']"
model265.csv,3,15,"['34', '24', '23']"
model25.csv,3,34,"['125', '25', '15']"
model178.csv,2,125,"['134', '34']"
model494.csv,3,15,"['34', '24', '23']"
model449.csv,3,15,"['34', '24', '23']"
model215.csv,2,34,"['25', '15']"
model83.csv,2,145,"['235', '234']"
model341.csv,3,234,"['145', '135', '125']"
model379.csv,4,15,"['234', '34', '24', '23']"
model445.csv,3,15,"['34', '24', '23']"
model31.csv,4,15,"['234', '34', '24', '23']"
model144.csv,3,234,"['145', '135', '125']"
model38.csv,3,125,"['234', '134', '34']"
model320.csv,2,145,"['235', '234']"
model24.csv,2,145,"['235', '234']"
model233.csv,3,15,"['34', '24', '23']"
model295.csv,3,15,"['34', '24', '23']"
model299.csv,3,15,"['34', '24', '23']"
model284.csv,2,145,"['235', '234']"
model421.csv,3,234,"['145', '135', '125']"
model198.csv,2,125,"['134', '34']"
model235.csv,3,15,"['34', '24', '23']"
model278.csv,2,145,"['235', '234']"
model244.csv,2,145,"['235', '234']"
model315.csv,3,15,"['34', '24', '23']"
model227.csv,2,234,"['135', '125']"
model124.csv,2,125,"['134', '34']"
model35.csv,4,15,"['234', '34', '24', '23']"
model371.csv,2,145,"['235', '234']"
model327.csv,3,15,"['34', '24', '23']"
model222.csv,3,34,"['125', '25', '15']"
model43.csv,3,125,"['234', '134', '34']"
model292.csv,4,15,"['234', '34', '24', '23']"
model510.csv,2,234,"['135', '125']"
model220.csv,3,34,"['125', '25', '15']"
model462.csv,2,145,"['235', '234']"
model148.csv,4,15,"['234', '34', '24', '23']"
model515.csv,3,234,"['145', '135', '125']"
model423.csv,4,15,"['234', '34', '24', '23']"
model147.csv,4,15,"['234', '34', '24', '23']"
model461.csv,2,145,"['235', '234']"
model476.csv,2,145,"['235', '234']"
model442.csv,4,15,"['234', '34', '24', '23']"
model321.csv,2,145,"['235', '234']"
model160.csv,2,145,"['235', '234']"
model254.csv,2,145,"['235', '234']"
model479.csv,3,15,"['34', '24', '23']"
model355.csv,4,15,"['234', '34', '24', '23']"
model7.csv,3,125,"['234', '134', '34']"
model411.csv,3,234,"['145', '135', '125']"
model344.csv,2,145,"['235', '234']"
model337.csv,2,234,"['135', '125']"
model308.csv,3,15,"['34', '24', '23']"
model467.csv,2,234,"['135', '125']"
model94.csv,2,145,"['235', '234']"
model62.csv,2,145,"['235', '234']"
model13.csv,3,125,"['234', '134', '34']"
model403.csv,2,15,"['24', '23']"
model164.csv,2,145,"['235', '234']"
model481.csv,2,15,"['24', '23']"
model274.csv,2,145,"['235', '234']"
model325.csv,4,15,"['234', '34', '24', '23']"
model310.csv,2,145,"['235', '234']"
model219.csv,3,234,"['145', '135', '125']"
model110.csv,2,134,"['125', '25']"
model229.csv,3,234,"['145', '135', '125']"
model305.csv,2,145,"['235', '234']"
model273.csv,3,15,"['34', '24', '23']"
model248.csv,2,145,"['235', '234']"
model6.csv,3,125,"['234', '134', '34']"
model446.csv,3,15,"['34', '24', '23']"
model185.csv,2,125,"['134', '34']"
model212.csv,3,34,"['125', '25', '15']"
model145.csv,3,234,"['145', '135', '125']"
model45.csv,2,145,"['235', '234']"
model4.csv,3,125,"['234', '134', '34']"
model281.csv,2,145,"['235', '234']"
model400.csv,2,145,"['235', '234']"
model138.csv,3,234,"['145', '135', '125']"
model334.csv,3,15,"['34', '24', '23']"
model405.csv,2,234,"['135', '125']"
model412.csv,3,234,"['145', '135', '125']"
model437.csv,4,15,"['234', '34', '24', '23']"
model376.csv,4,15,"['234', '34', '24', '23']"
model252.csv,2,145,"['235', '234']"
model452.csv,2,25,"['134', '34']"
model352.csv,3,234,"['145', '135', '125']"
model136.csv,3,234,"['145', '135', '125']"
model10.csv,2,145,"['235', '234']"
model279.csv,2,145,"['235', '234']"
model465.csv,2,15,"['24', '23']"
model358.csv,4,15,"['234', '34', '24', '23']"
model458.csv,3,15,"['34', '24', '23']"
model484.csv,2,34,"['25', '15']"
model92.csv,3,34,"['125', '25', '15']"
model230.csv,4,15,"['234', '34', '24', '23']"
model509.csv,2,234,"['135', '125']"
model98.csv,2,145,"['235', '234']"
model324.csv,4,15,"['234', '34', '24', '23']"
model362.csv,3,15,"['34', '24', '23']"
model293.csv,4,15,"['234', '34', '24', '23']"
model502.csv,2,145,"['235', '234']"
model56.csv,2,145,"['235', '234']"
model406.csv,2,234,"['135', '125']"
model266.csv,3,15,"['34', '24', '23']"
model290.csv,2,145,"['235', '234']"
model457.csv,3,234,"['145', '135', '125']"
model74.csv,2,145,"['235', '234']"
model129.csv,2,234,"['135', '125']"
model54.csv,2,145,"['235', '234']"
model117.csv,2,125,"['134', '34']"
model472.csv,3,15,"['34', '24', '23']"
model389.csv,2,25,"['134', '34']"
model413.csv,2,145,"['235', '234']"
model259.csv,3,15,"['34', '24', '23']"
model223.csv,2,145,"['235', '234']"
model139.csv,3,234,"['145', '135', '125']"
model416.csv,2,145,"['235', '234']"
model157.csv,3,125,"['234', '134', '34']"
model8.csv,3,125,"['234', '134', '34']"
model451.csv,3,15,"['34', '24', '23']"
model495.csv,2,145,"['235', '234']"
model322.csv,2,145,"['235', '234']"
model497.csv,2,145,"['235', '234']"
model217.csv,2,234,"['135', '125']"
model489.csv,3,234,"['145', '135', '125']"
model395.csv,2,145,"['235', '234']"
model288.csv,2,145,"['235', '234']"
model27.csv,3,34,"['125', '25', '15']"
model96.csv,2,145,"['235', '234']"
model112.csv,2,125,"['134', '34']"
model343.csv,2,145,"['235', '234']"
model429.csv,3,15,"['34', '24', '23']"
model238.csv,3,15,"['34', '24', '23']"
model242.csv,2,145,"['235', '234']"
model332.csv,2,25,"['134', '34']"
model340.csv,2,234,"['135', '125']"
model146.csv,4,15,"['234', '34', '24', '23']"
model354.csv,3,234,"['145', '135', '125']"
model107.csv,2,125,"['134', '34']"
model199.csv,2,125,"['134', '34']"
model408.csv,2,234,"['135', '125']"
model241.csv,3,15,"['34', '24', '23']"
model111.csv,3,125,"['234', '134', '34']"
model93.csv,2,145,"['235', '234']"
model439.csv,3,15,"['34', '24', '23']"
model380.csv,3,15,"['34', '24', '23']"
model17.csv,3,34,"['125', '25', '15']"
model40.csv,2,145,"['235', '234']"
model9.csv,2,145,"['235', '234']"
model364.csv,3,15,"['34', '24', '23']"
model475.csv,2,145,"['235', '234']"
model155.csv,2,145,"['235', '234']"
model66.csv,4,15,"['234', '34', '24', '23']"
model419.csv,2,234,"['135', '125']"
model330.csv,3,15,"['34', '24', '23']"
model177.csv,3,125,"['234', '134', '34']"
model1.csv,4,15,"['234', '34', '24', '23']"
model251.csv,2,145,"['235', '234']"
model501.csv,2,145,"['235', '234']"
model41.csv,3,34,"['125', '25', '15']"
model432.csv,3,15,"['34', '24', '23']"
model399.csv,2,145,"['235', '234']"
model365.csv,3,15,"['34', '24', '23']"
model68.csv,3,125,"['234', '134', '34']"
model80.csv,2,145,"['235', '234']"
model28.csv,2,145,"['235', '234']"
model240.csv,3,15,"['34', '24', '23']"
model143.csv,2,234,"['135', '125']"
model468.csv,2,234,"['135', '125']"
model338.csv,2,234,"['135', '125']"
model170.csv,4,15,"['234', '34', '24', '23']"
model342.csv,3,234,"['145', '135', '125']"
model72.csv,3,125,"['234', '134', '34']"
model200.csv,3,34,"['125', '25', '15']"
model436.csv,4,15,"['234', '34', '24', '23']"
model272.csv,3,15,"['34', '24', '23']"
model456.csv,3,234,"['145', '135', '125']"
model64.csv,2,145,"['235', '234']"
model86.csv,2,145,"['235', '234']"
model158.csv,2,145,"['235', '234']"
model142.csv,3,34,"['125', '25', '15']"
model176.csv,3,125,"['234', '134', '34']"
model102.csv,4,15,"['234', '34', '24', '23']"
model218.csv,3,234,"['145', '135', '125']"
model161.csv,3,125,"['234', '134', '34']"
model301.csv,3,15,"['34', '24', '23']"
model428.csv,4,15,"['234', '34', '24', '23']"
model303.csv,3,15,"['34', '24', '23']"
model280.csv,2,145,"['235', '234']"
model425.csv,4,15,"['234', '34', '24', '23']"
model122.csv,3,34,"['125', '25', '15']"
model182.csv,3,125,"['234', '134', '34']"
model5.csv,4,15,"['234', '34', '24', '23']"
model236.csv,4,15,"['234', '34', '24', '23']"
model77.csv,3,125,"['234', '134', '34']"
model192.csv,3,34,"['125', '25', '15']"
model133.csv,2,234,"['135', '125']"
model347.csv,2,234,"['135', '125']"
model285.csv,2,145,"['235', '234']"
model505.csv,2,15,"['24', '23']"
model53.csv,2,145,"['235', '234']"
model42.csv,2,145,"['235', '234']"
model48.csv,2,145,"['235', '234']"
model438.csv,4,15,"['234', '34', '24', '23']"
model156.csv,3,125,"['234', '134', '34']"
model513.csv,3,234,"['145', '135', '125']"
model490.csv,3,234,"['145', '135', '125']"
model309.csv,3,15,"['34', '24', '23']"
model418.csv,2,234,"['135', '125']"
model260.csv,4,15,"['234', '34', '24', '23']"
model275.csv,2,145,"['235', '234']"
model318.csv,2,145,"['235', '234']"
model201.csv,2,134,"['125', '25']"
model333.csv,2,234,"['135', '125']"
model128.csv,2,234,"['135', '125']"
model282.csv,3,15,"['34', '24', '23']"
model75.csv,3,34,"['125', '25', '15']"
model137.csv,3,234,"['145', '135', '125']"
model234.csv,4,15,"['234', '34', '24', '23']"
model132.csv,2,234,"['135', '125']"
model116.csv,2,125,"['134', '34']"
model473.csv,2,145,"['235', '234']"
model150.csv,3,125,"['234', '134', '34']"
model485.csv,2,234,"['135', '125']"
model276.csv,2,145,"['235', '234']"
model11.csv,3,34,"['125', '25', '15']"
model202.csv,2,234,"['135', '125']"
model434.csv,3,15,"['34', '24', '23']"
model312.csv,2,145,"['235', '234']"
model186.csv,3,34,"['125', '25', '15']"
model183.csv,3,125,"['234', '134', '34']"
model196.csv,3,34,"['125', '25', '15']"
model448.csv,3,15,"['34', '24', '23']"
model512.csv,2,234,"['135', '125']"
model263.csv,3,15,"['34', '24', '23']"
model59.csv,3,34,"['125', '25', '15']"
model357.csv,4,15,"['234', '34', '24', '23']"
model91.csv,2,145,"['235', '234']"
model57.csv,3,34,"['125', '25', '15']"
model316.csv,2,145,"['235', '234']"
model250.csv,2,145,"['235', '234']"
model115.csv,2,134,"['125', '25']"
model95.csv,3,34,"['125', '25', '15']"
model500.csv,2,145,"['235', '234']"
model283.csv,3,15,"['34', '24', '23']"
model267.csv,3,15,"['34', '24', '23']"
model123.csv,2,234,"['135', '125']"
model114.csv,3,34,"['125', '25', '15']"
model194.csv,2,125,"['134', '34']"
model374.csv,2,145,"['235', '234']"
model203.csv,2,234,"['135', '125']"
model488.csv,2,234,"['135', '125']"
model366.csv,3,15,"['34', '24', '23']"
model277.csv,2,145,"['235', '234']"
model135.csv,2,234,"['135', '125']"
model256.csv,4,15,"['234', '34', '24', '23']"
model12.csv,2,145,"['235', '234']"
model214.csv,3,34,"['125', '25', '15']"
model407.csv,2,234,"['135', '125']"
model375.csv,4,15,"['234', '34', '24', '23']"
model402.csv,2,145,"['235', '234']"
model493.csv,3,15,"['34', '24', '23']"
model104.csv,3,125,"['234', '134', '34']"
model304.csv,2,145,"['235', '234']"
model127.csv,2,134,"['125', '25']"
model345.csv,2,145,"['235', '234']"
model163.csv,3,34,"['125', '25', '15']"
model152.csv,3,125,"['234', '134', '34']"
model297.csv,3,15,"['34', '24', '23']"
model190.csv,2,125,"['134', '34']"
model503.csv,3,15,"['34', '24', '23']"
model482.csv,2,15,"['24', '23']"
model335.csv,2,25,"['134', '34']"
model60.csv,2,145,"['235', '234']"
model89.csv,3,34,"['125', '25', '15']"
model181.csv,2,134,"['125', '25']"
model88.csv,2,145,"['235', '234']"
model460.csv,2,145,"['235', '234']"
model384.csv,3,15,"['34', '24', '23']"
model261.csv,3,15,"['34', '24', '23']"
model370.csv,3,15,"['34', '24', '23']"
model491.csv,3,234,"['145', '135', '125']"
model171.csv,4,15,"['234', '34', '24', '23']"
model237.csv,3,15,"['34', '24', '23']"
model32.csv,4,15,"['234', '34', '24', '23']"
model477.csv,2,145,"['235', '234']"
model506.csv,2,15,"['24', '23']"
model151.csv,3,125,"['234', '134', '34']"
model270.csv,2,145,"['235', '234']"
model508.csv,2,34,"['25', '15']"
model221.csv,2,145,"['235', '234']"
model388.csv,2,15,"['24', '23']"
model51.csv,3,34,"['125', '25', '15']"
model207.csv,3,234,"['145', '135', '125']"
model381.csv,3,15,"['34', '24', '23']"
model286.csv,2,145,"['235', '234']"
model255.csv,2,145,"['235', '234']"
model447.csv,3,15,"['34', '24', '23']"
model420.csv,3,234,"['145', '135', '125']"
model453.csv,2,15,"['24', '23']"
model454.csv,2,234,"['135', '125']"
model34.csv,3,125,"['234', '134', '34']"
model184.csv,2,125,"['134', '34']"
model450.csv,3,15,"['34', '24', '23']"
model353.csv,3,234,"['145', '135', '125']"
model100.csv,2,145,"['235', '234']"
model249.csv,2,145,"['235', '234']"
model369.csv,3,15,"['34', '24', '23']"
model118.csv,3,34,"['125', '25', '15']"
model396.csv,2,145,"['235', '234']"
model373.csv,2,145,"['235', '234']"
model191.csv,2,125,"['134', '34']"
model90.csv,2,145,"['235', '234']"
model121.csv,2,234,"['135', '125']"
model37.csv,3,125,"['234', '134', '34']"
model44.csv,3,125,"['234', '134', '34']"
model224.csv,3,34,"['125', '25', '15']"
model172.csv,4,15,"['234', '34', '24', '23']"
model363.csv,3,15,"['34', '24', '23']"
model76.csv,2,145,"['235', '234']"
model323.csv,2,145,"['235', '234']"
model232.csv,4,15,"['234', '34', '24', '23']"
model359.csv,3,15,"['34', '24', '23']"
model480.csv,3,15,"['34', '24', '23']"
model471.csv,3,15,"['34', '24', '23']"
model82.csv,2,145,"['235', '234']"
model166.csv,3,34,"['125', '25', '15']"
model179.csv,2,125,"['134', '34']"
model474.csv,2,145,"['235', '234']"
model65.csv,4,15,"['234', '34', '24', '23']"
model336.csv,2,15,"['24', '23']"
model87.csv,2,145,"['235', '234']"
model499.csv,2,145,"['235', '234']"
model154.csv,3,34,"['125', '25', '15']"
model378.csv,3,15,"['34', '24', '23']"
model46.csv,2,145,"['235', '234']"
model134.csv,3,34,"['125', '25', '15']"
model268.csv,2,145,"['235', '234']"
model20.csv,2,145,"['235', '234']"
model84.csv,2,145,"['235', '234']"
model487.csv,2,234,"['135', '125']"
model414.csv,2,145,"['235', '234']"
model387.csv,2,25,"['134', '34']"
model311.csv,2,145,"['235', '234']"
model496.csv,2,145,"['235', '234']"
model444.csv,4,15,"['234', '34', '24', '23']"
model58.csv,2,145,"['235', '234']"
model55.csv,3,34,"['125', '25', '15']"
model246.csv,3,15,"['34', '24', '23']"
model120.csv,2,234,"['135', '125']"
model298.csv,4,15,"['234', '34', '24', '23']"
model21.csv,3,34,"['125', '25', '15']"
model228.csv,3,234,"['145', '135', '125']"
model126.csv,3,34,"['125', '25', '15']"
model231.csv,4,15,"['234', '34', '24', '23']"
model18.csv,2,145,"['235', '234']"
model125.csv,2,125,"['134', '34']"
model131.csv,2,234,"['135', '125']"
model30.csv,2,145,"['235', '234']"
model73.csv,2,145,"['235', '234']"
model208.csv,3,234,"['145', '135', '125']"
model393.csv,3,234,"['145', '135', '125']"
model410.csv,3,234,"['145', '135', '125']"
model398.csv,2,145,"['235', '234']"
model16.csv,2,145,"['235', '234']"
model296.csv,4,15,"['234', '34', '24', '23']"
model492.csv,3,234,"['145', '135', '125']"
model3.csv,4,15,"['234', '34', '24', '23']"
model351.csv,3,234,"['145', '135', '125']"
model397.csv,2,145,"['235', '234']"
model346.csv,2,145,"['235', '234']"
model36.csv,3,125,"['234', '134', '34']"
model22.csv,2,145,"['235', '234']"
model427.csv,3,15,"['34', '24', '23']"
model264.csv,3,15,"['34', '24', '23']"
model213.csv,2,145,"['235', '234']"
model175.csv,3,125,"['234', '134', '34']"
model78.csv,3,125,"['234', '134', '34']"
model504.csv,3,15,"['34', '24', '23']"
model319.csv,2,145,"['235', '234']"
model257.csv,4,15,"['234', '34', '24', '23']"
model307.csv,2,145,"['235', '234']"
model63.csv,3,34,"['125', '25', '15']"
model382.csv,3,15,"['34', '24', '23']"
model331.csv,3,15,"['34', '24', '23']"
model377.csv,4,15,"['234', '34', '24', '23']"
model514.csv,3,234,"['145', '135', '125']"
model195.csv,2,125,"['134', '34']"
model85.csv,3,34,"['125', '25', '15']"
model404.csv,2,34,"['25', '15']"
model205.csv,2,234,"['135', '125']"
model193.csv,2,134,"['125', '25']"
model269.csv,2,145,"['235', '234']"
model162.csv,2,145,"['235', '234']"
model169.csv,2,145,"['235', '234']"
model291.csv,2,145,"['235', '234']"
model165.csv,2,145,"['235', '234']"
model516.csv,3,234,"['145', '135', '125']"
model459.csv,3,15,"['34', '24', '23']"
model422.csv,4,15,"['234', '34', '24', '23']"
model167.csv,2,145,"['235', '234']"
model247.csv,3,15,"['34', '24', '23']"
model350.csv,2,234,"['135', '125']"
model174.csv,4,15,"['234', '34', '24', '23']"
model108.csv,2,125,"['134', '34']"
model326.csv,4,15,"['234', '34', '24', '23']"
model511.csv,2,234,"['135', '125']"
model385.csv,3,15,"['34', '24', '23']"
model372.csv,2,145,"['235', '234']"
model226.csv,3,34,"['125', '25', '15']"
model209.csv,3,234,"['145', '135', '125']"
model441.csv,3,15,"['34', '24', '23']"
model119.csv,2,134,"['125', '25']"
model168.csv,3,34,"['125', '25', '15']"
model204.csv,3,34,"['125', '25', '15']"
model189.csv,3,125,"['234', '134', '34']"
model113.csv,2,125,"['134', '34']"
model70.csv,3,125,"['234', '134', '34']"
model15.csv,2,145,"['235', '234']"
model401.csv,2,145,"['235', '234']"
model317.csv,2,145,"['235', '234']"
model225.csv,2,34,"['25', '15']"
model211.csv,2,145,"['235', '234']"
model483.csv,2,34,"['25', '15']"
model360.csv,4,15,"['234', '34', '24', '23']"
model443.csv,3,15,"['34', '24', '23']"
model417.csv,2,34,"['25', '15']"
model431.csv,3,15,"['34', '24', '23']"
model498.csv,2,145,"['235', '234']"
model49.csv,2,145,"['235', '234']"
model383.csv,3,15,"['34', '24', '23']"
model99.csv,3,34,"['125', '25', '15']"
model367.csv,3,15,"['34', '24', '23']"
